lingwa de planeta,inglish,ruski,worda tip,surse
-fobista , -phobe,,,Greek
"«Hao», ela shwo al smaili. "," «OK», she said smiling.",,exampla-ney frasa,
(mah-)pasi ," (zwo) pass, spend (time)",,zwo,
(pa) sekwi-ves , next time,,,
(Se) es kitaba. , This is a book.,,,
(syao) self- (of oneself , cf. «selfa»),,,
100 gram per kilo , 100 gram per kilo,,,
100 kilometra per ora , 100 km per hour,,,
6% per yar , 6% per year,,,
a," 1) (konekti) to (aim, direction)","1) предлог, указывающий направление, цель (к, в): treba go a shop – надо идти в магазин, lu returni-te a Moskva – он вернулся в Москву; 2) предлог дательного падежа: me dai kitaba a ela – я даю ей книгу; me rakonti a yu – я рассказываю тебе, ela shwo a lu – она говорит ему; 3) название буквы ""A a""",konekti-partikla,
a,2) (konekti) to (dative case),"1) предлог, указывающий направление, цель (к, в): treba go a shop – надо идти в магазин, lu returni-te a Moskva – он вернулся в Москву; 2) предлог дательного падежа: me dai kitaba a ela – я даю ей книгу; me rakonti a yu – я рассказываю тебе, ela shwo a lu – она говорит ему; 3) название буквы ""A a""",konekti-partikla,
a,3) the name of the letter A a																					,"1) предлог, указывающий направление, цель (к, в): treba go a shop – надо идти в магазин, lu returni-te a Moskva – он вернулся в Москву; 2) предлог дательного падежа: me dai kitaba a ela – я даю ей книгу; me rakonti a yu – я рассказываю тебе, ela shwo a lu – она говорит ему; 3) название буквы ""A a""",,
a desna , (loko-komo) (to the) right,,loko-komo,
a enilok , to any place,,,
a flanka , sideways,,,
a koylok , to some place,,,
a Landan via Paris , to London via Paris,,,
a lefta , (loko-komo) (to the) left,,loko-komo,
a may amiga , to my friend,,exampla-ney frasa,
a me , to me,,,
a mutu , to each other (syao) mutual,,,
a nullok ," to nowhere, nowhither",,,
a nullok , to nowhere,,,
a oli taraf , in/to all directions,,exampla-ney frasa,
a otrelok , elsewhither,,,
a otrelok , to another place,,,
a wo ," where, which way",,,
a wo unkwe nu go , wherever we go,,,
A wo yu go? , Where are you going?,,,
a yu , to you,,exampla-ney frasa,
aa ," (exklami) ah, oh (an exclamation of understanding, recognition)","А! (междометие понимания, узнавания): Aa, es yu! А, это ты!",exklami-partikla,
"Aa, es yu!","Ah, it's you!",,exampla-ney frasa,
"Aa, me samaji. "," Oh, I see. Written with two letters for distinction from the conjunction ""a"" (but pronounced the same way) See also: ah",,exampla-ney frasa,
abat , (kwo) abbot,аббат; abatguan - аббатство,kwo,
abatguan , (kwo) abbey,,kwo,
abeta , (kwo) fir (tree),пихта,kwo,
abisma , (kwo) abyss,"бездна, пропасть, пучина",kwo,
abnega ," (kwo) abnegation, self-denial",,kwo,
abnegi ," (zwo) abnegate, deny oneself; renounce","отказываться, отрекаться; отказывать себе: lu abnegi-te fuming он отказался от курения; abnega (само)отречение, добровольный отказ",zwo,
abola , (kwo) abolishment,,kwo,
aboli , (zwo) abolish,"отменять, упразднять (закон, общественный институт и т. п.); abola отмена, аннулирование ",zwo,
abordaja , (kwo) boarding (attacking an enemy ship),абордаж,kwo,
aborigena , (kwo) aborigine,,kwo,
aborigene , (kwel) aboriginal,"аборигенный, туземный, aborigena абориген",kwel,
abreva , (kwo) abbreviation,,kwo,
abrevi ," (zwo) abbreviate (words); abridge (a book), curtail (a narrative)","сокращать (о слове); abreva сокращение (слова, фразы, текста); abrevitura аббревиатура; abrevi-nem (abrevem) сокращённо",zwo,
abrevi-nem (abrevem) , (komo) in abbreviated form,,komo,
abrevi-ney ," (kwel) abbreviated, abridged",,kwel,
abrevitura , (kwo) acronym,,kwo,
abrupte ," (kwel) precipitous, abrupt; brusque; sudden, abrupt","1) отрывистый, резкий; 2) обрывистый, крутой; 3) резкий, внезапный",kwel,
absensia , (kwo) absence,,kwo,
absente ," (kwel) absent, not present",отсутствующий; absensia отсутствие,kwel,
abses , (kwo) abscess,"абсцесс, гнойник, нарыв",kwo,
absoluta , (kwo) (the) absolute,,kwo,
absolute , (kwel) absolute,абсолютный; absolutem абсолютно; absoluta абсолют,kwel,
absolutem , (komo) absolutely,,komo,
absorba , (kwo) absorption,,kwo,
absorbi , (zwo) absorb,"впитывать, всасывать; поглощать; абсорбировать; absorba абсорбция, впитывание; absorben bay gunsa поглощён работой",zwo,
abstrakta , (kwo) abstraction,,kwo,
abstrakta-ney (abstrakte) , (kwel) abstract,,kwel,
abstrakti , (zwo) abstract,абстрагировать(ся); abstrakta абстракция; abstrakta-ney (abstrakte) абстрактный,zwo,
absurda , (kwo) absurd,,kwo,
absurde , (kwel) absurd,"абсурдный; absurda, absurdika нечто абсурдное, ерунда, глупость; absurditaa абсурд; абcурдность",kwel,
absurditaa , (kwo) absurdity,,kwo,
abundansia , (kwo) abundance,,kwo,
abundante , (kwel) abundant,"обильный, изобилующий; abundansia изобилие; abundantem обильно; щедро",kwel,
abundantem ," (komo) abundantly, amply, generously",,komo,
abyas ," (kwo) habit, custom","привычка; навык; hev abyas иметь обыкновение; abyas-ney привычный; abyas-nem привычно; pa abyas по привычке; abyasi привыкнуть (a koysa - к чему-л.), получить навык; mah koywan abyasi приучить кого-л.; abyasing привыкание; abyasi-ney (abyasen) привыкший",kwo,
abyas es dwa-ney natura , habit is second nature,,,
abyas-nem ," (komo) habitually (see also ""pinchan"")",,komo,
abyas-ney , (kwel) habitual,,kwel,
abyasen a mushkila , accustomed to difficulties,,exampla-ney frasa,Hindi
abyasi , (zwo) get accustomed/used (a koysa ,,zwo,
abyasi-ney (abyasen) ," (kwel) accustomed, used (a koysa ",,kwel,
acha , (kwo) axe,топор; топорик; секира,kwo,Spanish
ada , (kwo) addition,,kwo,
Adam , Adam (Bibl.),Адам (библ.),prope nam,
adapta , (kwo) adaptation,,kwo,
adapter , (kwo) adapter,,kwo,
adapti ," (zwo) adapt, adapt oneself","приспосабливать(ся), адаптировать(ся); adapta адаптация, приспособление; adapter адаптер; adapti-ney приспособленный; adaptinesa приспособленность; adaptibilitaa приспособляемость",zwo,
adaptibile , (kwel) adaptable,,kwel,
adaptibilitaa , (kwo) adaptability,,kwo,
adar ," (loko-komo) thither, there, that way",,loko-komo,
adi , (zwo) add,"добавить; прибавить; ada добавление; добавка, прибавка (тж.adiwat); adike добавочный, дополнительный",zwo,
adike , (kwel) additional (cf. “aditi”),,kwel,
adita , (kwo) addition (math.),,kwo,
aditi ," (zwo) add (math.), add up, tot up","складывать, сложить (матем.); adita сложение; aditiwat слагаемое",zwo,
adiwat ," (kwo) additive, addition (smth added)",,kwo,
adla , (kwo) nobleman (a member of nobility),,kwo,
adle , (kwel) noble (of nobility),дворянский; знатный; adla дворянин; adlitaa дворянство; знать,kwel,
adlitaa , (kwo) nobility,,kwo,German
administra , (kwo) administration (administering),,kwo,
administrasion , (kwo) administration (managers),,kwo,
administri ," (zwo) administer (manage, conduct)","управлять, заведовать, администрировать; administra управление, заведование; administrasion администрация",zwo,
admira , (kwo) admiration,,kwo,
admiral , (kwo) admiral,адмирал,kwo,
"admirer, admiri-sha ", (kwo) admirer,,kwo,
admiri , (zwo) admire,"восхищаться, любоваться; восторгаться; admira восхищение; любование; восторг; admirival восхитительный, заслуживающий восхищения; admirer, admiri-sha поклонник, обожатель",zwo,
admirival , (kwel) admirable,,kwel,
admirival , admirable,,,
admita ," (kwo) admission, admittance",,kwo,
admiti ," (zwo) admit (grant entrance, whether into a place or into the mind)","допускать; admita допуск, допущение, принятие; noadmitibile недопустимый",zwo,
adopta , (kwo) adoption,,kwo,
adopti , (zwo) adopt,"принимать (закон, решение); усыновлять (удочерять); перенимать, усваивать; adopta принятие; усыновление",zwo,
adres , (kwo) address (location or its description),адрес; adresi адресовать; обращаться (к кому-л.); adresing обращение (к кому-л.),kwo,
adresi ," (zwo) address, accost",,zwo,
adresing ," (kwo) addressing, address (act)",,kwo,
adulta , (kwo) adult,,kwo,
adulte , (kwel) adult,"взрослый; adulta взрослый человек (adulto взрослый мужчина, adultina взрослая женщина); adultifi взрослеть; adultifa взросление",kwel,
adultina , (kwo) adult female,,kwo,
adulto , (kwo) adult male,,kwo,
adyoo , (exklami) Goodbye! Adieu!,"до свиданья!; прощание; shwo/fai adyoo прощаться; al fai adyoo на прощание, прощаясь; mavi handa pa adyoo помахать рукой на прощание",exklami-partikla,
adyutanta ," (kwo) aide de camp, adjutant",адьютант,kwo,
afisha ," (kwo) bill, poster, placard",афиша; afishi афишировать,kwo,
afishi , (zwo) bill (advertise),,zwo,
